member_id,join_date,membership_tier,home_club,age,gender,monthly_fee,churn_date,total_checkins,avg_app_login_minutes,trainer_sessions,unique_clubs,unique_classes,total_sales,avg_profit_margin,is_churned,tier_code
M000001,2023-02-04,VIP,Midtown_Elite,64,M,129.99,2023-12-11,8,40.375,0,5,1,94.72,0.245,1,4
M000002,2024-04-26,Senior,Financial_District,29,F,44.99,,19,42.526315789473685,2,11,2,124.76,0.255,0,2
M000003,2024-03-31,VIP,Brooklyn_Heights,52,M,129.99,,22,38.31818181818182,0,11,3,185.94,0.385,0,4
M000004,2023-02-08,Basic,Chinatown_Active,21,Other,49.99,,17,33.8235294117647,2,10,4,76.89,0.3499999999999999,0,0
M000005,2024-12-06,VIP,Williamsburg,38,M,129.99,,12,30.916666666666668,1,10,2,48.2,0.46,0,4
M000006,2024-09-25,Student,Chinatown_Active,55,F,39.99,,17,53.76470588235294,0,9,2,41.53,0.28,0,3
M000007,2024-03-03,Student,Astoria_Fit,38,M,39.99,2024-09-22,10,46.5,0,9,0,185.06,0.3566666666666667,1,3
M000008,2023-09-10,Premium,Financial_District,70,F,79.99,,21,24.0,0,12,4,51.52,0.38,0,1
M000009,2024-06-18,Premium,Upper_East_Side,48,F,79.99,2025-02-28,22,28.727272727272727,1,11,6,0.0,0.0,1,1
M000010,2024-01-05,VIP,Staten_Island,64,F,129.99,,18,44.55555555555556,1,11,3,332.07,0.31,0,4
M000011,2023-07-11,Basic,Bronx_Fitness,46,M,49.99,,10,26.1,0,8,1,139.23,0.396,0,0
M000012,2023-12-10,VIP,NYC_Downtown,48,F,129.99,,16,47.0,0,12,4,183.15,0.41,0,4
M000013,2023-07-07,Senior,Bronx_Fitness,43,Other,44.99,,15,62.0,0,10,2,587.31,0.3463636363636364,0,2
M000014,2023-07-10,Student,Brooklyn_Heights,53,M,39.99,,13,36.46153846153846,2,10,3,236.25,0.3566666666666667,0,3
M000015,2024-05-15,Basic,Brooklyn_Heights,51,Other,49.99,,9,22.11111111111111,0,9,2,49.22,0.375,0,0
M000016,2023-12-02,Basic,Manhattan_Premium,55,M,49.99,,13,36.53846153846154,1,10,4,31.950000000000003,0.37666666666666665,0,0
M000017,2024-12-12,Student,Queens_Central,40,Other,39.99,,19,42.0,1,11,5,187.61,0.36166666666666664,0,3
M000018,2023-03-12,Senior,Manhattan_Premium,45,F,44.99,,17,41.11764705882353,0,11,3,257.84000000000003,0.414,0,2
M000019,2023-03-12,VIP,Harlem_Strong,44,Other,129.99,,12,50.333333333333336,1,10,2,9.24,0.36,0,4
M000020,2024-10-13,Basic,NYC_Downtown,26,Other,49.99,,13,27.76923076923077,1,9,0,45.27,0.48,0,0
M000021,2023-09-11,Student,Brooklyn_Heights,24,F,39.99,,20,31.05,1,12,4,235.2,0.3175,0,3
M000022,2024-09-14,Student,Astoria_Fit,44,Other,39.99,,10,23.1,2,9,4,73.34,0.36000000000000004,0,3
M000023,2024-06-06,Senior,Williamsburg,24,M,44.99,,15,35.46666666666667,3,9,4,164.84,0.3175,0,2
M000024,2024-03-24,VIP,Upper_East_Side,22,F,129.99,,12,22.166666666666668,0,8,5,129.79,0.4033333333333333,0,4
M000025,2023-06-11,Premium,Chinatown_Active,32,M,79.99,,14,33.214285714285715,2,9,2,8.19,0.335,0,1
M000026,2024-08-12,Senior,Midtown_Elite,41,F,44.99,,16,46.5,0,10,4,220.46,0.33714285714285713,0,2
M000027,2024-07-22,VIP,Upper_East_Side,20,Other,129.99,,14,37.357142857142854,0,9,4,222.59,0.27,0,4
M000028,2024-02-15,Basic,Queens_Central,43,F,49.99,2024-10-11,18,40.611111111111114,0,10,5,128.01999999999998,0.39,1,0
